startTime,actual
2025-03-01 00:00:00+00:00,4711
2025-03-01 00:30:00+00:00,5095
2025-03-01 01:00:00+00:00,5140
2025-03-01 01:30:00+00:00,4997
2025-03-01 02:00:00+00:00,4914
2025-03-01 02:30:00+00:00,4845
2025-03-01 03:00:00+00:00,4726
2025-03-01 03:30:00+00:00,4693
2025-03-01 04:00:00+00:00,4777
2025-03-01 04:30:00+00:00,4966
2025-03-01 05:00:00+00:00,4983
2025-03-01 05:30:00+00:00,5050
2025-03-01 06:00:00+00:00,5074
2025-03-01 06:30:00+00:00,5144
2025-03-01 07:00:00+00:00,4751
2025-03-01 07:30:00+00:00,4561
2025-03-01 08:00:00+00:00,4273
2025-03-01 08:30:00+00:00,4083
2025-03-01 09:00:00+00:00,4078
2025-03-01 09:30:00+00:00,3999
2025-03-01 10:00:00+00:00,3958
2025-03-01 10:30:00+00:00,3946
2025-03-01 11:00:00+00:00,4023
2025-03-01 11:30:00+00:00,4152
2025-03-01 12:00:00+00:00,4292
2025-03-01 12:30:00+00:00,4460
2025-03-01 13:00:00+00:00,4645
2025-03-01 13:30:00+00:00,4534
2025-03-01 14:00:00+00:00,4497
2025-03-01 14:30:00+00:00,4524
2025-03-01 15:00:00+00:00,4241
2025-03-01 15:30:00+00:00,4115
2025-03-01 16:00:00+00:00,3770
2025-03-01 16:30:00+00:00,3721
2025-03-01 17:00:00+00:00,3885
2025-03-01 17:30:00+00:00,3863
2025-03-01 18:00:00+00:00,3604
2025-03-01 18:30:00+00:00,3648
2025-03-01 19:00:00+00:00,3544
2025-03-01 19:30:00+00:00,3767
2025-03-01 20:00:00+00:00,3721
2025-03-01 20:30:00+00:00,3574
2025-03-01 21:00:00+00:00,3661
2025-03-01 21:30:00+00:00,3610
2025-03-01 22:00:00+00:00,3545
2025-03-01 22:30:00+00:00,3821
2025-03-01 23:00:00+00:00,4051
2025-03-01 23:30:00+00:00,3967
2025-03-02 00:00:00+00:00,3945
2025-03-02 00:30:00+00:00,4070
2025-03-02 01:00:00+00:00,4008
2025-03-02 01:30:00+00:00,4130
2025-03-02 02:00:00+00:00,4145
2025-03-02 02:30:00+00:00,4178
2025-03-02 03:00:00+00:00,4240
2025-03-02 03:30:00+00:00,4365
2025-03-02 04:00:00+00:00,4543
2025-03-02 04:30:00+00:00,4722
2025-03-02 05:00:00+00:00,4810
2025-03-02 05:30:00+00:00,5026
2025-03-02 06:00:00+00:00,5149
2025-03-02 06:30:00+00:00,5028
2025-03-02 07:00:00+00:00,4980
2025-03-02 07:30:00+00:00,5144
2025-03-02 08:00:00+00:00,5307
2025-03-02 08:30:00+00:00,5310
2025-03-02 09:00:00+00:00,5621
2025-03-02 09:30:00+00:00,6105
2025-03-02 10:00:00+00:00,6375
2025-03-02 10:30:00+00:00,6639
2025-03-02 11:00:00+00:00,6834
2025-03-02 11:30:00+00:00,6986
2025-03-02 12:00:00+00:00,7032
2025-03-02 12:30:00+00:00,7515
2025-03-02 13:00:00+00:00,7663
2025-03-02 13:30:00+00:00,7692
2025-03-02 14:00:00+00:00,7807
2025-03-02 14:30:00+00:00,7976
2025-03-02 15:00:00+00:00,7758
2025-03-02 15:30:00+00:00,7955
2025-03-02 16:00:00+00:00,8553
2025-03-02 16:30:00+00:00,8868
2025-03-02 17:00:00+00:00,9085
2025-03-02 17:30:00+00:00,9245
2025-03-02 18:00:00+00:00,9053
2025-03-02 18:30:00+00:00,8729
2025-03-02 19:00:00+00:00,8772
2025-03-02 19:30:00+00:00,8675
2025-03-02 20:00:00+00:00,8471
2025-03-02 20:30:00+00:00,8242
2025-03-02 21:00:00+00:00,8239
2025-03-02 21:30:00+00:00,8190
2025-03-02 22:00:00+00:00,8111
2025-03-02 22:30:00+00:00,8057
2025-03-02 23:00:00+00:00,8168
2025-03-02 23:30:00+00:00,8039
2025-03-03 00:00:00+00:00,7934
2025-03-03 00:30:00+00:00,7796
2025-03-03 01:00:00+00:00,7586
2025-03-03 01:30:00+00:00,7504
2025-03-03 02:00:00+00:00,7503
2025-03-03 02:30:00+00:00,7023
2025-03-03 03:00:00+00:00,7293
2025-03-03 03:30:00+00:00,7273
2025-03-03 04:00:00+00:00,7079
2025-03-03 04:30:00+00:00,6951
2025-03-03 05:00:00+00:00,7112
2025-03-03 05:30:00+00:00,7411
2025-03-03 06:00:00+00:00,7515
2025-03-03 06:30:00+00:00,7062
2025-03-03 07:00:00+00:00,6971
2025-03-03 07:30:00+00:00,6953
2025-03-03 08:00:00+00:00,6787
2025-03-03 08:30:00+00:00,7103
2025-03-03 09:00:00+00:00,7060
2025-03-03 09:30:00+00:00,6952
2025-03-03 10:00:00+00:00,6953
2025-03-03 10:30:00+00:00,7081
2025-03-03 11:00:00+00:00,7279
2025-03-03 11:30:00+00:00,7391
2025-03-03 12:00:00+00:00,7580
2025-03-03 12:30:00+00:00,7521
2025-03-03 13:00:00+00:00,7306
2025-03-03 13:30:00+00:00,7093
2025-03-03 14:00:00+00:00,6865
2025-03-03 14:30:00+00:00,6659
2025-03-03 15:00:00+00:00,6458
2025-03-03 15:30:00+00:00,6235
2025-03-03 16:00:00+00:00,5841
2025-03-03 16:30:00+00:00,5614
2025-03-03 17:00:00+00:00,5634
2025-03-03 17:30:00+00:00,5593
2025-03-03 18:00:00+00:00,5665
2025-03-03 18:30:00+00:00,5972
2025-03-03 19:00:00+00:00,5720
2025-03-03 19:30:00+00:00,5873
2025-03-03 20:00:00+00:00,6149
2025-03-03 20:30:00+00:00,6349
2025-03-03 21:00:00+00:00,6449
2025-03-03 21:30:00+00:00,6458
2025-03-03 22:00:00+00:00,6461
2025-03-03 22:30:00+00:00,6653
2025-03-03 23:00:00+00:00,6560
2025-03-03 23:30:00+00:00,6412
2025-03-04 00:00:00+00:00,6251
2025-03-04 00:30:00+00:00,6376
2025-03-04 01:00:00+00:00,6438
2025-03-04 01:30:00+00:00,6364
2025-03-04 02:00:00+00:00,6181
2025-03-04 02:30:00+00:00,6346
2025-03-04 03:00:00+00:00,6346
2025-03-04 03:30:00+00:00,6229
2025-03-04 04:00:00+00:00,6238
2025-03-04 04:30:00+00:00,6050
2025-03-04 05:00:00+00:00,6007
2025-03-04 05:30:00+00:00,6109
2025-03-04 06:00:00+00:00,6242
2025-03-04 06:30:00+00:00,6256
2025-03-04 07:00:00+00:00,5896
2025-03-04 07:30:00+00:00,5927
2025-03-04 08:00:00+00:00,6610
2025-03-04 08:30:00+00:00,7252
2025-03-04 09:00:00+00:00,8317
2025-03-04 09:30:00+00:00,9217
2025-03-04 10:00:00+00:00,9272
2025-03-04 10:30:00+00:00,9411
2025-03-04 11:00:00+00:00,9696
2025-03-04 11:30:00+00:00,10189
2025-03-04 12:00:00+00:00,10632
2025-03-04 12:30:00+00:00,11209
2025-03-04 13:00:00+00:00,12070
2025-03-04 13:30:00+00:00,12800
2025-03-04 14:00:00+00:00,12837
2025-03-04 14:30:00+00:00,12591
2025-03-04 15:00:00+00:00,12175
2025-03-04 15:30:00+00:00,12008
2025-03-04 16:00:00+00:00,12533
2025-03-04 16:30:00+00:00,12467
2025-03-04 17:00:00+00:00,12269
2025-03-04 17:30:00+00:00,12391
2025-03-04 18:00:00+00:00,12446
2025-03-04 18:30:00+00:00,12623
2025-03-04 19:00:00+00:00,12709
2025-03-04 19:30:00+00:00,13000
2025-03-04 20:00:00+00:00,13083
2025-03-04 20:30:00+00:00,13179
2025-03-04 21:00:00+00:00,13330
2025-03-04 21:30:00+00:00,13217
2025-03-04 22:00:00+00:00,12952
2025-03-04 22:30:00+00:00,12664
2025-03-04 23:00:00+00:00,12500
2025-03-04 23:30:00+00:00,12468
2025-03-05 00:00:00+00:00,12370
2025-03-05 00:30:00+00:00,12380
2025-03-05 01:00:00+00:00,12203
2025-03-05 01:30:00+00:00,12083
2025-03-05 02:00:00+00:00,11999
2025-03-05 02:30:00+00:00,12005
2025-03-05 03:00:00+00:00,11883
2025-03-05 03:30:00+00:00,11558
2025-03-05 04:00:00+00:00,11044
2025-03-05 04:30:00+00:00,10805
2025-03-05 05:00:00+00:00,10865
2025-03-05 05:30:00+00:00,10753
2025-03-05 06:00:00+00:00,10625
2025-03-05 06:30:00+00:00,10826
2025-03-05 07:00:00+00:00,10928
2025-03-05 07:30:00+00:00,11598
2025-03-05 08:00:00+00:00,12002
2025-03-05 08:30:00+00:00,12360
2025-03-05 09:00:00+00:00,12561
2025-03-05 09:30:00+00:00,12696
2025-03-05 10:00:00+00:00,12414
2025-03-05 10:30:00+00:00,12165
2025-03-05 11:00:00+00:00,12410
2025-03-05 11:30:00+00:00,12703
2025-03-05 12:00:00+00:00,12766
2025-03-05 12:30:00+00:00,12853
2025-03-05 13:00:00+00:00,13216
2025-03-05 13:30:00+00:00,13248
2025-03-05 14:00:00+00:00,13056
2025-03-05 14:30:00+00:00,12900
2025-03-05 15:00:00+00:00,12623
2025-03-05 15:30:00+00:00,12489
2025-03-05 16:00:00+00:00,12589
2025-03-05 16:30:00+00:00,12782
2025-03-05 17:00:00+00:00,12977
2025-03-05 17:30:00+00:00,12803
2025-03-05 18:00:00+00:00,13102
2025-03-05 18:30:00+00:00,13522
2025-03-05 19:00:00+00:00,13500
2025-03-05 19:30:00+00:00,13574
2025-03-05 20:00:00+00:00,13546
2025-03-05 20:30:00+00:00,13370
2025-03-05 21:00:00+00:00,12879
2025-03-05 21:30:00+00:00,12476
