startTime,publishTime,horizonHours,forecast
2025-07-01 04:00:00+00:00,2025-07-01 03:30:00+00:00,0.5,3716
2025-07-01 05:00:00+00:00,2025-07-01 03:30:00+00:00,1.5,3319
2025-07-01 06:00:00+00:00,2025-07-01 03:30:00+00:00,2.5,3474
2025-07-01 06:00:00+00:00,2025-07-01 05:30:00+00:00,0.5,2742
2025-07-01 07:00:00+00:00,2025-07-01 03:30:00+00:00,3.5,3628
2025-07-01 07:00:00+00:00,2025-07-01 05:30:00+00:00,1.5,2963
2025-07-01 08:00:00+00:00,2025-07-01 03:30:00+00:00,4.5,3378
2025-07-01 08:00:00+00:00,2025-07-01 05:30:00+00:00,2.5,2997
2025-07-01 09:00:00+00:00,2025-07-01 03:30:00+00:00,5.5,3057
2025-07-01 09:00:00+00:00,2025-07-01 05:30:00+00:00,3.5,2854
2025-07-01 09:00:00+00:00,2025-07-01 08:30:00+00:00,0.5,2431
2025-07-01 10:00:00+00:00,2025-07-01 03:30:00+00:00,6.5,2723
2025-07-01 10:00:00+00:00,2025-07-01 05:30:00+00:00,4.5,2660
2025-07-01 10:00:00+00:00,2025-07-01 08:30:00+00:00,1.5,2428
2025-07-01 11:00:00+00:00,2025-07-01 03:30:00+00:00,7.5,2563
2025-07-01 11:00:00+00:00,2025-07-01 05:30:00+00:00,5.5,2515
2025-07-01 11:00:00+00:00,2025-07-01 08:30:00+00:00,2.5,2546
2025-07-01 11:00:00+00:00,2025-07-01 10:30:00+00:00,0.5,2812
2025-07-01 12:00:00+00:00,2025-07-01 03:30:00+00:00,8.5,2545
2025-07-01 12:00:00+00:00,2025-07-01 05:30:00+00:00,6.5,2558
2025-07-01 12:00:00+00:00,2025-07-01 08:30:00+00:00,3.5,2959
2025-07-01 12:00:00+00:00,2025-07-01 10:30:00+00:00,1.5,2885
2025-07-01 13:00:00+00:00,2025-07-01 03:30:00+00:00,9.5,2765
2025-07-01 13:00:00+00:00,2025-07-01 05:30:00+00:00,7.5,2832
2025-07-01 13:00:00+00:00,2025-07-01 08:30:00+00:00,4.5,3521
2025-07-01 13:00:00+00:00,2025-07-01 10:30:00+00:00,2.5,3291
2025-07-01 13:00:00+00:00,2025-07-01 12:30:00+00:00,0.5,3197
2025-07-01 14:00:00+00:00,2025-07-01 03:30:00+00:00,10.5,3081
2025-07-01 14:00:00+00:00,2025-07-01 05:30:00+00:00,8.5,3187
2025-07-01 14:00:00+00:00,2025-07-01 08:30:00+00:00,5.5,3975
2025-07-01 14:00:00+00:00,2025-07-01 10:30:00+00:00,3.5,3915
2025-07-01 14:00:00+00:00,2025-07-01 12:30:00+00:00,1.5,3862
2025-07-01 15:00:00+00:00,2025-07-01 03:30:00+00:00,11.5,3271
2025-07-01 15:00:00+00:00,2025-07-01 05:30:00+00:00,9.5,3334
2025-07-01 15:00:00+00:00,2025-07-01 08:30:00+00:00,6.5,4255
2025-07-01 15:00:00+00:00,2025-07-01 10:30:00+00:00,4.5,4430
2025-07-01 15:00:00+00:00,2025-07-01 12:30:00+00:00,2.5,4438
2025-07-01 16:00:00+00:00,2025-07-01 03:30:00+00:00,12.5,3527
2025-07-01 16:00:00+00:00,2025-07-01 05:30:00+00:00,10.5,3553
2025-07-01 16:00:00+00:00,2025-07-01 08:30:00+00:00,7.5,4434
2025-07-01 16:00:00+00:00,2025-07-01 10:30:00+00:00,5.5,4763
