startTime,publishTime,horizonHours,forecast
2025-06-01 04:00:00+00:00,2025-06-01 03:30:00+00:00,0.5,10060
2025-06-01 05:00:00+00:00,2025-06-01 03:30:00+00:00,1.5,10140
2025-06-01 06:00:00+00:00,2025-06-01 03:30:00+00:00,2.5,10664
2025-06-01 06:00:00+00:00,2025-06-01 05:30:00+00:00,0.5,10600
2025-06-01 07:00:00+00:00,2025-06-01 03:30:00+00:00,3.5,11035
2025-06-01 07:00:00+00:00,2025-06-01 05:30:00+00:00,1.5,11025
2025-06-01 08:00:00+00:00,2025-06-01 03:30:00+00:00,4.5,10961
2025-06-01 08:00:00+00:00,2025-06-01 05:30:00+00:00,2.5,10994
2025-06-01 09:00:00+00:00,2025-06-01 03:30:00+00:00,5.5,10947
2025-06-01 09:00:00+00:00,2025-06-01 05:30:00+00:00,3.5,10990
2025-06-01 09:00:00+00:00,2025-06-01 08:30:00+00:00,0.5,10684
2025-06-01 10:00:00+00:00,2025-06-01 03:30:00+00:00,6.5,10970
2025-06-01 10:00:00+00:00,2025-06-01 05:30:00+00:00,4.5,11054
2025-06-01 10:00:00+00:00,2025-06-01 08:30:00+00:00,1.5,10502
2025-06-01 11:00:00+00:00,2025-06-01 03:30:00+00:00,7.5,11254
2025-06-01 11:00:00+00:00,2025-06-01 05:30:00+00:00,5.5,11281
2025-06-01 11:00:00+00:00,2025-06-01 08:30:00+00:00,2.5,10540
2025-06-01 11:00:00+00:00,2025-06-01 10:30:00+00:00,0.5,9825
2025-06-01 12:00:00+00:00,2025-06-01 03:30:00+00:00,8.5,11634
2025-06-01 12:00:00+00:00,2025-06-01 05:30:00+00:00,6.5,11800
2025-06-01 12:00:00+00:00,2025-06-01 08:30:00+00:00,3.5,11466
2025-06-01 12:00:00+00:00,2025-06-01 10:30:00+00:00,1.5,10389
2025-06-01 13:00:00+00:00,2025-06-01 03:30:00+00:00,9.5,12305
2025-06-01 13:00:00+00:00,2025-06-01 05:30:00+00:00,7.5,12431
2025-06-01 13:00:00+00:00,2025-06-01 08:30:00+00:00,4.5,11875
2025-06-01 13:00:00+00:00,2025-06-01 10:30:00+00:00,2.5,11184
2025-06-01 13:00:00+00:00,2025-06-01 12:30:00+00:00,0.5,11174
2025-06-01 14:00:00+00:00,2025-06-01 03:30:00+00:00,10.5,12848
2025-06-01 14:00:00+00:00,2025-06-01 05:30:00+00:00,8.5,12964
2025-06-01 14:00:00+00:00,2025-06-01 08:30:00+00:00,5.5,12433
2025-06-01 14:00:00+00:00,2025-06-01 10:30:00+00:00,3.5,12246
2025-06-01 14:00:00+00:00,2025-06-01 12:30:00+00:00,1.5,12296
2025-06-01 15:00:00+00:00,2025-06-01 03:30:00+00:00,11.5,13363
2025-06-01 15:00:00+00:00,2025-06-01 05:30:00+00:00,9.5,13351
2025-06-01 15:00:00+00:00,2025-06-01 08:30:00+00:00,6.5,12587
2025-06-01 15:00:00+00:00,2025-06-01 10:30:00+00:00,4.5,12553
2025-06-01 15:00:00+00:00,2025-06-01 12:30:00+00:00,2.5,12835
2025-06-01 16:00:00+00:00,2025-06-01 03:30:00+00:00,12.5,13646
2025-06-01 16:00:00+00:00,2025-06-01 05:30:00+00:00,10.5,13701
2025-06-01 16:00:00+00:00,2025-06-01 08:30:00+00:00,7.5,12877
2025-06-01 16:00:00+00:00,2025-06-01 10:30:00+00:00,5.5,12347
2025-06-01 16:00:00+00:00,2025-06-01 12:30:00+00:00,3.5,12536
2025-06-01 17:00:00+00:00,2025-06-01 03:30:00+00:00,13.5,13764
2025-06-01 17:00:00+00:00,2025-06-01 05:30:00+00:00,11.5,13844
2025-06-01 17:00:00+00:00,2025-06-01 08:30:00+00:00,8.5,13298
2025-06-01 17:00:00+00:00,2025-06-01 10:30:00+00:00,6.5,12988
2025-06-01 17:00:00+00:00,2025-06-01 12:30:00+00:00,4.5,13213
2025-06-01 17:00:00+00:00,2025-06-01 16:30:00+00:00,0.5,13163
2025-06-01 18:00:00+00:00,2025-06-01 03:30:00+00:00,14.5,13818
2025-06-01 18:00:00+00:00,2025-06-01 05:30:00+00:00,12.5,13884
2025-06-01 18:00:00+00:00,2025-06-01 08:30:00+00:00,9.5,13414
2025-06-01 18:00:00+00:00,2025-06-01 10:30:00+00:00,7.5,12990
2025-06-01 18:00:00+00:00,2025-06-01 12:30:00+00:00,5.5,13377
2025-06-01 18:00:00+00:00,2025-06-01 16:30:00+00:00,1.5,12653
2025-06-01 19:00:00+00:00,2025-06-01 03:30:00+00:00,15.5,13153
2025-06-01 19:00:00+00:00,2025-06-01 05:30:00+00:00,13.5,13284
2025-06-01 19:00:00+00:00,2025-06-01 08:30:00+00:00,10.5,13253
2025-06-01 19:00:00+00:00,2025-06-01 10:30:00+00:00,8.5,12933
2025-06-01 19:00:00+00:00,2025-06-01 12:30:00+00:00,6.5,13147
2025-06-01 19:00:00+00:00,2025-06-01 16:30:00+00:00,2.5,12762
2025-06-01 20:00:00+00:00,2025-06-01 03:30:00+00:00,16.5,12824
