startTime,publishTime,horizonHours,forecast
2025-08-01 04:00:00+00:00,2025-08-01 03:30:00+00:00,0.5,9231
2025-08-01 05:00:00+00:00,2025-08-01 03:30:00+00:00,1.5,9388
2025-08-01 06:00:00+00:00,2025-08-01 03:30:00+00:00,2.5,9688
2025-08-01 06:00:00+00:00,2025-08-01 05:30:00+00:00,0.5,9665
2025-08-01 07:00:00+00:00,2025-08-01 03:30:00+00:00,3.5,9555
2025-08-01 07:00:00+00:00,2025-08-01 05:30:00+00:00,1.5,9447
2025-08-01 08:00:00+00:00,2025-08-01 03:30:00+00:00,4.5,9148
2025-08-01 08:00:00+00:00,2025-08-01 05:30:00+00:00,2.5,9124
2025-08-01 09:00:00+00:00,2025-08-01 03:30:00+00:00,5.5,8976
2025-08-01 09:00:00+00:00,2025-08-01 05:30:00+00:00,3.5,9192
2025-08-01 09:00:00+00:00,2025-08-01 08:30:00+00:00,0.5,9061
2025-08-01 10:00:00+00:00,2025-08-01 03:30:00+00:00,6.5,8801
2025-08-01 10:00:00+00:00,2025-08-01 05:30:00+00:00,4.5,8973
2025-08-01 10:00:00+00:00,2025-08-01 08:30:00+00:00,1.5,9113
2025-08-01 11:00:00+00:00,2025-08-01 03:30:00+00:00,7.5,8837
2025-08-01 11:00:00+00:00,2025-08-01 05:30:00+00:00,5.5,9096
2025-08-01 11:00:00+00:00,2025-08-01 08:30:00+00:00,2.5,9002
2025-08-01 11:00:00+00:00,2025-08-01 10:30:00+00:00,0.5,9243
2025-08-01 12:00:00+00:00,2025-08-01 03:30:00+00:00,8.5,8975
2025-08-01 12:00:00+00:00,2025-08-01 05:30:00+00:00,6.5,9059
2025-08-01 12:00:00+00:00,2025-08-01 08:30:00+00:00,3.5,9153
2025-08-01 12:00:00+00:00,2025-08-01 10:30:00+00:00,1.5,9148
2025-08-01 13:00:00+00:00,2025-08-01 03:30:00+00:00,9.5,9081
2025-08-01 13:00:00+00:00,2025-08-01 05:30:00+00:00,7.5,9048
2025-08-01 13:00:00+00:00,2025-08-01 08:30:00+00:00,4.5,9187
2025-08-01 13:00:00+00:00,2025-08-01 10:30:00+00:00,2.5,9920
2025-08-01 13:00:00+00:00,2025-08-01 12:30:00+00:00,0.5,9974
2025-08-01 14:00:00+00:00,2025-08-01 03:30:00+00:00,10.5,9575
2025-08-01 14:00:00+00:00,2025-08-01 05:30:00+00:00,8.5,9494
2025-08-01 14:00:00+00:00,2025-08-01 08:30:00+00:00,5.5,9475
2025-08-01 14:00:00+00:00,2025-08-01 10:30:00+00:00,3.5,10198
2025-08-01 14:00:00+00:00,2025-08-01 12:30:00+00:00,1.5,10147
2025-08-01 15:00:00+00:00,2025-08-01 03:30:00+00:00,11.5,9854
2025-08-01 15:00:00+00:00,2025-08-01 05:30:00+00:00,9.5,9805
2025-08-01 15:00:00+00:00,2025-08-01 08:30:00+00:00,6.5,9816
2025-08-01 15:00:00+00:00,2025-08-01 10:30:00+00:00,4.5,10086
2025-08-01 15:00:00+00:00,2025-08-01 12:30:00+00:00,2.5,9542
2025-08-01 16:00:00+00:00,2025-08-01 03:30:00+00:00,12.5,10063
2025-08-01 16:00:00+00:00,2025-08-01 05:30:00+00:00,10.5,9969
2025-08-01 16:00:00+00:00,2025-08-01 08:30:00+00:00,7.5,9729
2025-08-01 16:00:00+00:00,2025-08-01 10:30:00+00:00,5.5,10143
2025-08-01 16:00:00+00:00,2025-08-01 12:30:00+00:00,3.5,10194
2025-08-01 17:00:00+00:00,2025-08-01 03:30:00+00:00,13.5,9936
2025-08-01 17:00:00+00:00,2025-08-01 05:30:00+00:00,11.5,9919
2025-08-01 17:00:00+00:00,2025-08-01 08:30:00+00:00,8.5,9827
2025-08-01 17:00:00+00:00,2025-08-01 10:30:00+00:00,6.5,10048
2025-08-01 17:00:00+00:00,2025-08-01 12:30:00+00:00,4.5,10222
2025-08-01 17:00:00+00:00,2025-08-01 16:30:00+00:00,0.5,10114
2025-08-01 18:00:00+00:00,2025-08-01 03:30:00+00:00,14.5,9515
2025-08-01 18:00:00+00:00,2025-08-01 05:30:00+00:00,12.5,9557
2025-08-01 18:00:00+00:00,2025-08-01 08:30:00+00:00,9.5,9591
2025-08-01 18:00:00+00:00,2025-08-01 10:30:00+00:00,7.5,9803
2025-08-01 18:00:00+00:00,2025-08-01 12:30:00+00:00,5.5,9874
2025-08-01 18:00:00+00:00,2025-08-01 16:30:00+00:00,1.5,9592
2025-08-01 19:00:00+00:00,2025-08-01 03:30:00+00:00,15.5,9117
2025-08-01 19:00:00+00:00,2025-08-01 05:30:00+00:00,13.5,9187
2025-08-01 19:00:00+00:00,2025-08-01 08:30:00+00:00,10.5,9265
2025-08-01 19:00:00+00:00,2025-08-01 10:30:00+00:00,8.5,9308
2025-08-01 19:00:00+00:00,2025-08-01 12:30:00+00:00,6.5,9404
2025-08-01 19:00:00+00:00,2025-08-01 16:30:00+00:00,2.5,9364
2025-08-01 20:00:00+00:00,2025-08-01 03:30:00+00:00,16.5,8857
2025-08-01 20:00:00+00:00,2025-08-01 05:30:00+00:00,14.5,8943
2025-08-01 20:00:00+00:00,2025-08-01 08:30:00+00:00,11.5,8991
2025-08-01 20:00:00+00:00,2025-08-01 10:30:00+00:00,9.5,9017
2025-08-01 20:00:00+00:00,2025-08-01 12:30:00+00:00,7.5,9055
2025-08-01 20:00:00+00:00,2025-08-01 16:30:00+00:00,3.5,9300
2025-08-01 20:00:00+00:00,2025-08-01 19:30:00+00:00,0.5,9394
2025-08-01 21:00:00+00:00,2025-08-01 03:30:00+00:00,17.5,8799
2025-08-01 21:00:00+00:00,2025-08-01 05:30:00+00:00,15.5,8810
2025-08-01 21:00:00+00:00,2025-08-01 08:30:00+00:00,12.5,8732
2025-08-01 21:00:00+00:00,2025-08-01 10:30:00+00:00,10.5,8737
2025-08-01 21:00:00+00:00,2025-08-01 12:30:00+00:00,8.5,8846
2025-08-01 21:00:00+00:00,2025-08-01 16:30:00+00:00,4.5,9154
2025-08-01 21:00:00+00:00,2025-08-01 19:30:00+00:00,1.5,9286
2025-08-01 22:00:00+00:00,2025-08-01 03:30:00+00:00,18.5,8525
2025-08-01 22:00:00+00:00,2025-08-01 05:30:00+00:00,16.5,8580
2025-08-01 22:00:00+00:00,2025-08-01 08:30:00+00:00,13.5,8533
2025-08-01 22:00:00+00:00,2025-08-01 10:30:00+00:00,11.5,8535
2025-08-01 22:00:00+00:00,2025-08-01 12:30:00+00:00,9.5,8626
2025-08-01 22:00:00+00:00,2025-08-01 16:30:00+00:00,5.5,8797
2025-08-01 22:00:00+00:00,2025-08-01 19:30:00+00:00,2.5,8825
2025-08-01 23:00:00+00:00,2025-08-01 03:30:00+00:00,19.5,8014
2025-08-01 23:00:00+00:00,2025-08-01 05:30:00+00:00,17.5,8056
2025-08-01 23:00:00+00:00,2025-08-01 08:30:00+00:00,14.5,8060
2025-08-01 23:00:00+00:00,2025-08-01 10:30:00+00:00,12.5,8159
2025-08-01 23:00:00+00:00,2025-08-01 12:30:00+00:00,10.5,8267
2025-08-01 23:00:00+00:00,2025-08-01 16:30:00+00:00,6.5,8418
2025-08-01 23:00:00+00:00,2025-08-01 19:30:00+00:00,3.5,8577
2025-08-02 00:00:00+00:00,2025-08-01 03:30:00+00:00,20.5,7647
2025-08-02 00:00:00+00:00,2025-08-01 05:30:00+00:00,18.5,7712
2025-08-02 00:00:00+00:00,2025-08-01 08:30:00+00:00,15.5,7707
2025-08-02 00:00:00+00:00,2025-08-01 10:30:00+00:00,13.5,7854
2025-08-02 00:00:00+00:00,2025-08-01 12:30:00+00:00,11.5,8033
2025-08-02 00:00:00+00:00,2025-08-01 16:30:00+00:00,7.5,8147
2025-08-02 00:00:00+00:00,2025-08-01 19:30:00+00:00,4.5,8345
2025-08-02 00:00:00+00:00,2025-08-01 23:30:00+00:00,0.5,8470
2025-08-02 01:00:00+00:00,2025-08-01 03:30:00+00:00,21.5,7401
2025-08-02 01:00:00+00:00,2025-08-01 05:30:00+00:00,19.5,7449
2025-08-02 01:00:00+00:00,2025-08-01 08:30:00+00:00,16.5,7577
2025-08-02 01:00:00+00:00,2025-08-01 10:30:00+00:00,14.5,7743
2025-08-02 01:00:00+00:00,2025-08-01 12:30:00+00:00,12.5,7987
2025-08-02 01:00:00+00:00,2025-08-01 16:30:00+00:00,8.5,8131
2025-08-02 01:00:00+00:00,2025-08-01 19:30:00+00:00,5.5,8323
2025-08-02 01:00:00+00:00,2025-08-01 23:30:00+00:00,1.5,8332
2025-08-02 02:00:00+00:00,2025-08-01 03:30:00+00:00,22.5,7206
2025-08-02 02:00:00+00:00,2025-08-01 05:30:00+00:00,20.5,7235
2025-08-02 02:00:00+00:00,2025-08-01 08:30:00+00:00,17.5,7375
2025-08-02 02:00:00+00:00,2025-08-01 10:30:00+00:00,15.5,7561
2025-08-02 02:00:00+00:00,2025-08-01 12:30:00+00:00,13.5,7752
2025-08-02 02:00:00+00:00,2025-08-01 16:30:00+00:00,9.5,7979
2025-08-02 02:00:00+00:00,2025-08-01 19:30:00+00:00,6.5,8336
2025-08-02 02:00:00+00:00,2025-08-01 23:30:00+00:00,2.5,8137
2025-08-02 03:00:00+00:00,2025-08-01 03:30:00+00:00,23.5,7152
2025-08-02 03:00:00+00:00,2025-08-01 05:30:00+00:00,21.5,7146
2025-08-02 03:00:00+00:00,2025-08-01 08:30:00+00:00,18.5,7205
2025-08-02 03:00:00+00:00,2025-08-01 10:30:00+00:00,16.5,7374
2025-08-02 03:00:00+00:00,2025-08-01 12:30:00+00:00,14.5,7597
2025-08-02 03:00:00+00:00,2025-08-01 16:30:00+00:00,10.5,7918
2025-08-02 03:00:00+00:00,2025-08-01 19:30:00+00:00,7.5,8167
2025-08-02 03:00:00+00:00,2025-08-01 23:30:00+00:00,3.5,7922
2025-08-02 04:00:00+00:00,2025-08-01 03:30:00+00:00,24.5,6957
2025-08-02 04:00:00+00:00,2025-08-01 05:30:00+00:00,22.5,6969
2025-08-02 04:00:00+00:00,2025-08-01 08:30:00+00:00,19.5,7010
2025-08-02 04:00:00+00:00,2025-08-01 10:30:00+00:00,17.5,7135
2025-08-02 04:00:00+00:00,2025-08-01 12:30:00+00:00,15.5,7462
2025-08-02 04:00:00+00:00,2025-08-01 16:30:00+00:00,11.5,7853
2025-08-02 04:00:00+00:00,2025-08-01 19:30:00+00:00,8.5,8049
2025-08-02 04:00:00+00:00,2025-08-01 23:30:00+00:00,4.5,7715
2025-08-02 04:00:00+00:00,2025-08-02 03:30:00+00:00,0.5,7525
2025-08-02 05:00:00+00:00,2025-08-01 03:30:00+00:00,25.5,6643
