startTime,actual
2026-03-01 00:00:00+00:00,8624
2026-03-01 00:30:00+00:00,9234
2026-03-01 01:00:00+00:00,10087
2026-03-01 01:30:00+00:00,10372
2026-03-01 02:00:00+00:00,10415
2026-03-01 02:30:00+00:00,11150
2026-03-01 03:00:00+00:00,11987
2026-03-01 03:30:00+00:00,12388
2026-03-01 04:00:00+00:00,13023
2026-03-01 04:30:00+00:00,13792
2026-03-01 05:00:00+00:00,13659
2026-03-01 05:30:00+00:00,14160
2026-03-01 06:00:00+00:00,14779
2026-03-01 06:30:00+00:00,15604
2026-03-01 07:00:00+00:00,16101
2026-03-01 07:30:00+00:00,16313
2026-03-01 08:00:00+00:00,16536
2026-03-01 08:30:00+00:00,17232
2026-03-01 09:00:00+00:00,16928
2026-03-01 09:30:00+00:00,16883
2026-03-01 10:00:00+00:00,16676
2026-03-01 10:30:00+00:00,15901
2026-03-01 11:00:00+00:00,16005
2026-03-01 11:30:00+00:00,16737
2026-03-01 12:00:00+00:00,16872
2026-03-01 12:30:00+00:00,16912
2026-03-01 13:00:00+00:00,17065
2026-03-01 13:30:00+00:00,17402
2026-03-01 14:00:00+00:00,17262
2026-03-01 14:30:00+00:00,16971
2026-03-01 15:00:00+00:00,16990
2026-03-01 15:30:00+00:00,16882
2026-03-01 16:00:00+00:00,16665
2026-03-01 16:30:00+00:00,16836
2026-03-01 17:00:00+00:00,16984
2026-03-01 17:30:00+00:00,16883
2026-03-01 18:00:00+00:00,17233
2026-03-01 18:30:00+00:00,17120
2026-03-01 19:00:00+00:00,17406
2026-03-01 19:30:00+00:00,17488
2026-03-01 20:00:00+00:00,17315
2026-03-01 20:30:00+00:00,17290
2026-03-01 21:00:00+00:00,17422
2026-03-01 21:30:00+00:00,17541
2026-03-01 22:00:00+00:00,17755
2026-03-01 22:30:00+00:00,17565
2026-03-01 23:00:00+00:00,17535
2026-03-01 23:30:00+00:00,17692
2026-03-02 00:00:00+00:00,17602
2026-03-02 00:30:00+00:00,17586
2026-03-02 01:00:00+00:00,17457
2026-03-02 01:30:00+00:00,17483
2026-03-02 02:00:00+00:00,17381
2026-03-02 02:30:00+00:00,17320
2026-03-02 03:00:00+00:00,17268
2026-03-02 03:30:00+00:00,17267
2026-03-02 04:00:00+00:00,17035
2026-03-02 04:30:00+00:00,16464
2026-03-02 05:00:00+00:00,16089
2026-03-02 05:30:00+00:00,15434
2026-03-02 06:00:00+00:00,15096
2026-03-02 06:30:00+00:00,15023
2026-03-02 07:00:00+00:00,14565
2026-03-02 07:30:00+00:00,14449
2026-03-02 08:00:00+00:00,14025
2026-03-02 08:30:00+00:00,13440
2026-03-02 09:00:00+00:00,13057
2026-03-02 09:30:00+00:00,12921
2026-03-02 10:00:00+00:00,12466
2026-03-02 10:30:00+00:00,12267
2026-03-02 11:00:00+00:00,12021
2026-03-02 11:30:00+00:00,12312
2026-03-02 12:00:00+00:00,12279
2026-03-02 12:30:00+00:00,12601
2026-03-02 13:00:00+00:00,12669
2026-03-02 13:30:00+00:00,12399
2026-03-02 14:00:00+00:00,12495
2026-03-02 14:30:00+00:00,12611
2026-03-02 15:00:00+00:00,12698
2026-03-02 15:30:00+00:00,12697
2026-03-02 16:00:00+00:00,12939
2026-03-02 16:30:00+00:00,13240
2026-03-02 17:00:00+00:00,13304
2026-03-02 17:30:00+00:00,13384
2026-03-02 18:00:00+00:00,13539
2026-03-02 18:30:00+00:00,13804
2026-03-02 19:00:00+00:00,13902
2026-03-02 19:30:00+00:00,13784
2026-03-02 20:00:00+00:00,13798
2026-03-02 20:30:00+00:00,13403
2026-03-02 21:00:00+00:00,13124
2026-03-02 21:30:00+00:00,12790
2026-03-02 22:00:00+00:00,11976
2026-03-02 22:30:00+00:00,10812
2026-03-02 23:00:00+00:00,9559
2026-03-02 23:30:00+00:00,8361
2026-03-03 00:00:00+00:00,7458
2026-03-03 00:30:00+00:00,6680
2026-03-03 01:00:00+00:00,5922
2026-03-03 01:30:00+00:00,5593
2026-03-03 02:00:00+00:00,5430
2026-03-03 02:30:00+00:00,5503
2026-03-03 03:00:00+00:00,5587
2026-03-03 03:30:00+00:00,5364
2026-03-03 04:00:00+00:00,5231
2026-03-03 04:30:00+00:00,5268
2026-03-03 05:00:00+00:00,5723
2026-03-03 05:30:00+00:00,5708
2026-03-03 06:00:00+00:00,5521
2026-03-03 06:30:00+00:00,5510
2026-03-03 07:00:00+00:00,5712
2026-03-03 07:30:00+00:00,5437
2026-03-03 08:00:00+00:00,5376
2026-03-03 08:30:00+00:00,5256
2026-03-03 09:00:00+00:00,4783
2026-03-03 09:30:00+00:00,4617
