startTime,publishTime,horizonHours,forecast
2025-02-01 03:00:00+00:00,2025-02-01 02:30:00+00:00,0.5,5730
2025-02-01 04:00:00+00:00,2025-02-01 02:30:00+00:00,1.5,6401
2025-02-01 05:00:00+00:00,2025-02-01 02:30:00+00:00,2.5,7308
2025-02-01 05:00:00+00:00,2025-02-01 04:30:00+00:00,0.5,6991
2025-02-01 06:00:00+00:00,2025-02-01 02:30:00+00:00,3.5,7678
2025-02-01 06:00:00+00:00,2025-02-01 04:30:00+00:00,1.5,7502
2025-02-01 07:00:00+00:00,2025-02-01 02:30:00+00:00,4.5,8218
2025-02-01 07:00:00+00:00,2025-02-01 04:30:00+00:00,2.5,8173
2025-02-01 08:00:00+00:00,2025-02-01 02:30:00+00:00,5.5,9068
2025-02-01 08:00:00+00:00,2025-02-01 04:30:00+00:00,3.5,8679
2025-02-01 08:00:00+00:00,2025-02-01 07:30:00+00:00,0.5,8928
2025-02-01 09:00:00+00:00,2025-02-01 02:30:00+00:00,6.5,10015
2025-02-01 09:00:00+00:00,2025-02-01 04:30:00+00:00,4.5,9481
2025-02-01 09:00:00+00:00,2025-02-01 07:30:00+00:00,1.5,9344
2025-02-01 10:00:00+00:00,2025-02-01 02:30:00+00:00,7.5,10496
2025-02-01 10:00:00+00:00,2025-02-01 04:30:00+00:00,5.5,10238
2025-02-01 10:00:00+00:00,2025-02-01 07:30:00+00:00,2.5,9605
2025-02-01 10:00:00+00:00,2025-02-01 09:30:00+00:00,0.5,9129
2025-02-01 11:00:00+00:00,2025-02-01 02:30:00+00:00,8.5,10833
2025-02-01 11:00:00+00:00,2025-02-01 04:30:00+00:00,6.5,10929
2025-02-01 11:00:00+00:00,2025-02-01 07:30:00+00:00,3.5,10180
2025-02-01 11:00:00+00:00,2025-02-01 09:30:00+00:00,1.5,10037
2025-02-01 12:00:00+00:00,2025-02-01 02:30:00+00:00,9.5,10886
2025-02-01 12:00:00+00:00,2025-02-01 04:30:00+00:00,7.5,11228
2025-02-01 12:00:00+00:00,2025-02-01 07:30:00+00:00,4.5,10572
2025-02-01 12:00:00+00:00,2025-02-01 09:30:00+00:00,2.5,10257
2025-02-01 12:00:00+00:00,2025-02-01 11:30:00+00:00,0.5,10223
2025-02-01 13:00:00+00:00,2025-02-01 02:30:00+00:00,10.5,11164
2025-02-01 13:00:00+00:00,2025-02-01 04:30:00+00:00,8.5,11473
2025-02-01 13:00:00+00:00,2025-02-01 07:30:00+00:00,5.5,10935
2025-02-01 13:00:00+00:00,2025-02-01 09:30:00+00:00,3.5,10492
2025-02-01 13:00:00+00:00,2025-02-01 11:30:00+00:00,1.5,10886
2025-02-01 14:00:00+00:00,2025-02-01 02:30:00+00:00,11.5,11358
2025-02-01 14:00:00+00:00,2025-02-01 04:30:00+00:00,9.5,11518
2025-02-01 14:00:00+00:00,2025-02-01 07:30:00+00:00,6.5,11223
2025-02-01 14:00:00+00:00,2025-02-01 09:30:00+00:00,4.5,10588
2025-02-01 14:00:00+00:00,2025-02-01 11:30:00+00:00,2.5,10943
2025-02-01 15:00:00+00:00,2025-02-01 02:30:00+00:00,12.5,11467
2025-02-01 15:00:00+00:00,2025-02-01 04:30:00+00:00,10.5,11565
2025-02-01 15:00:00+00:00,2025-02-01 07:30:00+00:00,7.5,11315
2025-02-01 15:00:00+00:00,2025-02-01 09:30:00+00:00,5.5,11053
2025-02-01 15:00:00+00:00,2025-02-01 11:30:00+00:00,3.5,11258
2025-02-01 16:00:00+00:00,2025-02-01 02:30:00+00:00,13.5,12066
2025-02-01 16:00:00+00:00,2025-02-01 04:30:00+00:00,11.5,11964
2025-02-01 16:00:00+00:00,2025-02-01 07:30:00+00:00,8.5,11664
2025-02-01 16:00:00+00:00,2025-02-01 09:30:00+00:00,6.5,11172
2025-02-01 16:00:00+00:00,2025-02-01 11:30:00+00:00,4.5,11048
2025-02-01 16:00:00+00:00,2025-02-01 15:30:00+00:00,0.5,11157
2025-02-01 17:00:00+00:00,2025-02-01 02:30:00+00:00,14.5,12750
2025-02-01 17:00:00+00:00,2025-02-01 04:30:00+00:00,12.5,12647
2025-02-01 17:00:00+00:00,2025-02-01 07:30:00+00:00,9.5,12341
2025-02-01 17:00:00+00:00,2025-02-01 09:30:00+00:00,7.5,11997
2025-02-01 17:00:00+00:00,2025-02-01 11:30:00+00:00,5.5,11453
2025-02-01 17:00:00+00:00,2025-02-01 15:30:00+00:00,1.5,11260
2025-02-01 18:00:00+00:00,2025-02-01 02:30:00+00:00,15.5,13426
2025-02-01 18:00:00+00:00,2025-02-01 04:30:00+00:00,13.5,13293
2025-02-01 18:00:00+00:00,2025-02-01 07:30:00+00:00,10.5,12964
2025-02-01 18:00:00+00:00,2025-02-01 09:30:00+00:00,8.5,12624
2025-02-01 18:00:00+00:00,2025-02-01 11:30:00+00:00,6.5,12124
2025-02-01 18:00:00+00:00,2025-02-01 15:30:00+00:00,2.5,12149
2025-02-01 19:00:00+00:00,2025-02-01 02:30:00+00:00,16.5,14047
2025-02-01 19:00:00+00:00,2025-02-01 04:30:00+00:00,14.5,13867
