startTime,actual
2025-04-30 23:00:00+00:00,2934
2025-04-30 23:30:00+00:00,2968
2025-05-01 00:00:00+00:00,3090
2025-05-01 00:30:00+00:00,2920
2025-05-01 01:00:00+00:00,2848
2025-05-01 01:30:00+00:00,2834
2025-05-01 02:00:00+00:00,2704
2025-05-01 02:30:00+00:00,2642
2025-05-01 03:00:00+00:00,2514
2025-05-01 03:30:00+00:00,2413
2025-05-01 04:00:00+00:00,2237
2025-05-01 04:30:00+00:00,2124
2025-05-01 05:00:00+00:00,2157
2025-05-01 05:30:00+00:00,2170
2025-05-01 06:00:00+00:00,2193
2025-05-01 06:30:00+00:00,2139
2025-05-01 07:00:00+00:00,2701
2025-05-01 07:30:00+00:00,2663
2025-05-01 08:00:00+00:00,2327
2025-05-01 08:30:00+00:00,2477
2025-05-01 09:00:00+00:00,2752
2025-05-01 09:30:00+00:00,3130
2025-05-01 10:00:00+00:00,3095
2025-05-01 10:30:00+00:00,3109
2025-05-01 11:00:00+00:00,3151
2025-05-01 11:30:00+00:00,3347
2025-05-01 12:00:00+00:00,3842
2025-05-01 12:30:00+00:00,4315
2025-05-01 13:00:00+00:00,4564
2025-05-01 13:30:00+00:00,4627
2025-05-01 14:00:00+00:00,4954
2025-05-01 14:30:00+00:00,4987
2025-05-01 15:00:00+00:00,5407
2025-05-01 15:30:00+00:00,5496
2025-05-01 16:00:00+00:00,5671
2025-05-01 16:30:00+00:00,5809
2025-05-01 17:00:00+00:00,5773
2025-05-01 17:30:00+00:00,5521
2025-05-01 18:00:00+00:00,5492
2025-05-01 18:30:00+00:00,5394
2025-05-01 19:00:00+00:00,5445
2025-05-01 19:30:00+00:00,5259
2025-05-01 20:00:00+00:00,4999
2025-05-01 20:30:00+00:00,5399
2025-05-01 21:00:00+00:00,5682
2025-05-01 21:30:00+00:00,6130
2025-05-01 22:00:00+00:00,6546
2025-05-01 22:30:00+00:00,6280
2025-05-01 23:00:00+00:00,5932
2025-05-01 23:30:00+00:00,5984
2025-05-02 00:00:00+00:00,5671
2025-05-02 00:30:00+00:00,5279
2025-05-02 01:00:00+00:00,5769
2025-05-02 01:30:00+00:00,6520
2025-05-02 02:00:00+00:00,7099
2025-05-02 02:30:00+00:00,6987
