startTime,publishTime,horizonHours,forecast
2025-11-01 03:00:00+00:00,2025-11-01 02:30:00+00:00,0.5,19339
2025-11-01 04:00:00+00:00,2025-11-01 02:30:00+00:00,1.5,18912
2025-11-01 05:00:00+00:00,2025-11-01 02:30:00+00:00,2.5,17897
2025-11-01 05:00:00+00:00,2025-11-01 04:30:00+00:00,0.5,17393
2025-11-01 06:00:00+00:00,2025-11-01 02:30:00+00:00,3.5,17441
2025-11-01 06:00:00+00:00,2025-11-01 04:30:00+00:00,1.5,16494
2025-11-01 07:00:00+00:00,2025-11-01 02:30:00+00:00,4.5,17887
2025-11-01 07:00:00+00:00,2025-11-01 04:30:00+00:00,2.5,17280
2025-11-01 08:00:00+00:00,2025-11-01 02:30:00+00:00,5.5,18160
2025-11-01 08:00:00+00:00,2025-11-01 04:30:00+00:00,3.5,17837
2025-11-01 08:00:00+00:00,2025-11-01 07:30:00+00:00,0.5,16597
2025-11-01 09:00:00+00:00,2025-11-01 02:30:00+00:00,6.5,18380
2025-11-01 09:00:00+00:00,2025-11-01 04:30:00+00:00,4.5,18044
2025-11-01 09:00:00+00:00,2025-11-01 07:30:00+00:00,1.5,16748
2025-11-01 10:00:00+00:00,2025-11-01 02:30:00+00:00,7.5,18564
2025-11-01 10:00:00+00:00,2025-11-01 04:30:00+00:00,5.5,18271
2025-11-01 10:00:00+00:00,2025-11-01 07:30:00+00:00,2.5,17330
2025-11-01 10:00:00+00:00,2025-11-01 09:30:00+00:00,0.5,18172
2025-11-01 11:00:00+00:00,2025-11-01 02:30:00+00:00,8.5,18770
2025-11-01 11:00:00+00:00,2025-11-01 04:30:00+00:00,6.5,18634
2025-11-01 11:00:00+00:00,2025-11-01 07:30:00+00:00,3.5,17905
2025-11-01 11:00:00+00:00,2025-11-01 09:30:00+00:00,1.5,18552
2025-11-01 12:00:00+00:00,2025-11-01 02:30:00+00:00,9.5,19164
2025-11-01 12:00:00+00:00,2025-11-01 04:30:00+00:00,7.5,19119
2025-11-01 12:00:00+00:00,2025-11-01 07:30:00+00:00,4.5,18710
2025-11-01 12:00:00+00:00,2025-11-01 09:30:00+00:00,2.5,19171
2025-11-01 12:00:00+00:00,2025-11-01 11:30:00+00:00,0.5,19308
2025-11-01 13:00:00+00:00,2025-11-01 02:30:00+00:00,10.5,19406
2025-11-01 13:00:00+00:00,2025-11-01 04:30:00+00:00,8.5,19122
2025-11-01 13:00:00+00:00,2025-11-01 07:30:00+00:00,5.5,19442
2025-11-01 13:00:00+00:00,2025-11-01 09:30:00+00:00,3.5,19551
2025-11-01 13:00:00+00:00,2025-11-01 11:30:00+00:00,1.5,19539
2025-11-01 14:00:00+00:00,2025-11-01 02:30:00+00:00,11.5,19110
2025-11-01 14:00:00+00:00,2025-11-01 04:30:00+00:00,9.5,18799
2025-11-01 14:00:00+00:00,2025-11-01 07:30:00+00:00,6.5,19189
2025-11-01 14:00:00+00:00,2025-11-01 09:30:00+00:00,4.5,19314
2025-11-01 14:00:00+00:00,2025-11-01 11:30:00+00:00,2.5,19042
2025-11-01 15:00:00+00:00,2025-11-01 02:30:00+00:00,12.5,18196
2025-11-01 15:00:00+00:00,2025-11-01 04:30:00+00:00,10.5,17910
2025-11-01 15:00:00+00:00,2025-11-01 07:30:00+00:00,7.5,18310
2025-11-01 15:00:00+00:00,2025-11-01 09:30:00+00:00,5.5,18230
2025-11-01 15:00:00+00:00,2025-11-01 11:30:00+00:00,3.5,17920
2025-11-01 16:00:00+00:00,2025-11-01 02:30:00+00:00,13.5,16797
2025-11-01 16:00:00+00:00,2025-11-01 04:30:00+00:00,11.5,16573
2025-11-01 16:00:00+00:00,2025-11-01 07:30:00+00:00,8.5,17177
2025-11-01 16:00:00+00:00,2025-11-01 09:30:00+00:00,6.5,16950
2025-11-01 16:00:00+00:00,2025-11-01 11:30:00+00:00,4.5,16636
2025-11-01 16:00:00+00:00,2025-11-01 15:30:00+00:00,0.5,15384
2025-11-01 17:00:00+00:00,2025-11-01 02:30:00+00:00,14.5,15665
2025-11-01 17:00:00+00:00,2025-11-01 04:30:00+00:00,12.5,15436
2025-11-01 17:00:00+00:00,2025-11-01 07:30:00+00:00,9.5,16041
2025-11-01 17:00:00+00:00,2025-11-01 09:30:00+00:00,7.5,15825
2025-11-01 17:00:00+00:00,2025-11-01 11:30:00+00:00,5.5,15652
2025-11-01 17:00:00+00:00,2025-11-01 15:30:00+00:00,1.5,13776
2025-11-01 18:00:00+00:00,2025-11-01 02:30:00+00:00,15.5,14889
2025-11-01 18:00:00+00:00,2025-11-01 04:30:00+00:00,13.5,14645
2025-11-01 18:00:00+00:00,2025-11-01 07:30:00+00:00,10.5,15180
