startTime,publishTime,horizonHours,forecast
2026-02-01 03:00:00+00:00,2026-02-01 02:30:00+00:00,0.5,9428
2026-02-01 04:00:00+00:00,2026-02-01 02:30:00+00:00,1.5,9227
2026-02-01 05:00:00+00:00,2026-02-01 02:30:00+00:00,2.5,9051
2026-02-01 05:00:00+00:00,2026-02-01 04:30:00+00:00,0.5,9216
2026-02-01 06:00:00+00:00,2026-02-01 02:30:00+00:00,3.5,8874
2026-02-01 06:00:00+00:00,2026-02-01 04:30:00+00:00,1.5,9021
2026-02-01 07:00:00+00:00,2026-02-01 02:30:00+00:00,4.5,8522
2026-02-01 07:00:00+00:00,2026-02-01 04:30:00+00:00,2.5,8580
2026-02-01 08:00:00+00:00,2026-02-01 02:30:00+00:00,5.5,8252
2026-02-01 08:00:00+00:00,2026-02-01 04:30:00+00:00,3.5,8423
2026-02-01 08:00:00+00:00,2026-02-01 07:30:00+00:00,0.5,9023
2026-02-01 09:00:00+00:00,2026-02-01 02:30:00+00:00,6.5,8069
2026-02-01 09:00:00+00:00,2026-02-01 04:30:00+00:00,4.5,7969
2026-02-01 09:00:00+00:00,2026-02-01 07:30:00+00:00,1.5,8608
2026-02-01 10:00:00+00:00,2026-02-01 02:30:00+00:00,7.5,7446
2026-02-01 10:00:00+00:00,2026-02-01 04:30:00+00:00,5.5,7238
2026-02-01 10:00:00+00:00,2026-02-01 07:30:00+00:00,2.5,7617
2026-02-01 10:00:00+00:00,2026-02-01 09:30:00+00:00,0.5,7803
2026-02-01 11:00:00+00:00,2026-02-01 02:30:00+00:00,8.5,6619
2026-02-01 11:00:00+00:00,2026-02-01 04:30:00+00:00,6.5,6572
2026-02-01 11:00:00+00:00,2026-02-01 07:30:00+00:00,3.5,6728
2026-02-01 11:00:00+00:00,2026-02-01 09:30:00+00:00,1.5,7066
2026-02-01 12:00:00+00:00,2026-02-01 02:30:00+00:00,9.5,6015
2026-02-01 12:00:00+00:00,2026-02-01 04:30:00+00:00,7.5,5874
2026-02-01 12:00:00+00:00,2026-02-01 07:30:00+00:00,4.5,5892
2026-02-01 12:00:00+00:00,2026-02-01 09:30:00+00:00,2.5,6126
2026-02-01 12:00:00+00:00,2026-02-01 11:30:00+00:00,0.5,6657
2026-02-01 13:00:00+00:00,2026-02-01 02:30:00+00:00,10.5,5512
2026-02-01 13:00:00+00:00,2026-02-01 04:30:00+00:00,8.5,5458
2026-02-01 13:00:00+00:00,2026-02-01 07:30:00+00:00,5.5,5242
2026-02-01 13:00:00+00:00,2026-02-01 09:30:00+00:00,3.5,5222
2026-02-01 13:00:00+00:00,2026-02-01 11:30:00+00:00,1.5,5439
2026-02-01 14:00:00+00:00,2026-02-01 02:30:00+00:00,11.5,5142
2026-02-01 14:00:00+00:00,2026-02-01 04:30:00+00:00,9.5,5081
2026-02-01 14:00:00+00:00,2026-02-01 07:30:00+00:00,6.5,4898
2026-02-01 14:00:00+00:00,2026-02-01 09:30:00+00:00,4.5,4739
2026-02-01 14:00:00+00:00,2026-02-01 11:30:00+00:00,2.5,4677
2026-02-01 15:00:00+00:00,2026-02-01 02:30:00+00:00,12.5,4825
2026-02-01 15:00:00+00:00,2026-02-01 04:30:00+00:00,10.5,4770
2026-02-01 15:00:00+00:00,2026-02-01 07:30:00+00:00,7.5,4677
2026-02-01 15:00:00+00:00,2026-02-01 09:30:00+00:00,5.5,4417
2026-02-01 15:00:00+00:00,2026-02-01 11:30:00+00:00,3.5,4405
2026-02-01 16:00:00+00:00,2026-02-01 02:30:00+00:00,13.5,4561
2026-02-01 16:00:00+00:00,2026-02-01 04:30:00+00:00,11.5,4513
2026-02-01 16:00:00+00:00,2026-02-01 07:30:00+00:00,8.5,4475
2026-02-01 16:00:00+00:00,2026-02-01 09:30:00+00:00,6.5,4262
2026-02-01 16:00:00+00:00,2026-02-01 11:30:00+00:00,4.5,4220
2026-02-01 16:00:00+00:00,2026-02-01 15:30:00+00:00,0.5,4266
2026-02-01 17:00:00+00:00,2026-02-01 02:30:00+00:00,14.5,4408
2026-02-01 17:00:00+00:00,2026-02-01 04:30:00+00:00,12.5,4402
2026-02-01 17:00:00+00:00,2026-02-01 07:30:00+00:00,9.5,4474
2026-02-01 17:00:00+00:00,2026-02-01 09:30:00+00:00,7.5,4415
2026-02-01 17:00:00+00:00,2026-02-01 11:30:00+00:00,5.5,4317
2026-02-01 17:00:00+00:00,2026-02-01 15:30:00+00:00,1.5,4071
2026-02-01 18:00:00+00:00,2026-02-01 02:30:00+00:00,15.5,4382
2026-02-01 18:00:00+00:00,2026-02-01 04:30:00+00:00,13.5,4433
2026-02-01 18:00:00+00:00,2026-02-01 07:30:00+00:00,10.5,4613
2026-02-01 18:00:00+00:00,2026-02-01 09:30:00+00:00,8.5,4851
2026-02-01 18:00:00+00:00,2026-02-01 11:30:00+00:00,6.5,4549
2026-02-01 18:00:00+00:00,2026-02-01 15:30:00+00:00,2.5,4002
2026-02-01 19:00:00+00:00,2026-02-01 02:30:00+00:00,16.5,4387
2026-02-01 19:00:00+00:00,2026-02-01 04:30:00+00:00,14.5,4455
2026-02-01 19:00:00+00:00,2026-02-01 07:30:00+00:00,11.5,4768
2026-02-01 19:00:00+00:00,2026-02-01 09:30:00+00:00,9.5,5066
