startTime,publishTime,horizonHours,forecast
2025-01-01 03:00:00+00:00,2025-01-01 02:30:00+00:00,0.5,18070
2025-01-01 04:00:00+00:00,2025-01-01 02:30:00+00:00,1.5,18146
2025-01-01 05:00:00+00:00,2025-01-01 02:30:00+00:00,2.5,17945
2025-01-01 05:00:00+00:00,2025-01-01 04:30:00+00:00,0.5,18054
2025-01-01 06:00:00+00:00,2025-01-01 02:30:00+00:00,3.5,17404
2025-01-01 06:00:00+00:00,2025-01-01 04:30:00+00:00,1.5,17417
2025-01-01 07:00:00+00:00,2025-01-01 02:30:00+00:00,4.5,17270
2025-01-01 07:00:00+00:00,2025-01-01 04:30:00+00:00,2.5,17536
2025-01-01 08:00:00+00:00,2025-01-01 02:30:00+00:00,5.5,16840
2025-01-01 08:00:00+00:00,2025-01-01 04:30:00+00:00,3.5,17354
2025-01-01 08:00:00+00:00,2025-01-01 07:30:00+00:00,0.5,17207
2025-01-01 09:00:00+00:00,2025-01-01 02:30:00+00:00,6.5,16794
2025-01-01 09:00:00+00:00,2025-01-01 04:30:00+00:00,4.5,17413
2025-01-01 09:00:00+00:00,2025-01-01 07:30:00+00:00,1.5,17185
2025-01-01 10:00:00+00:00,2025-01-01 02:30:00+00:00,7.5,16886
2025-01-01 10:00:00+00:00,2025-01-01 04:30:00+00:00,5.5,17581
2025-01-01 10:00:00+00:00,2025-01-01 07:30:00+00:00,2.5,17898
2025-01-01 10:00:00+00:00,2025-01-01 09:30:00+00:00,0.5,18416
2025-01-01 11:00:00+00:00,2025-01-01 02:30:00+00:00,8.5,16907
2025-01-01 11:00:00+00:00,2025-01-01 04:30:00+00:00,6.5,17282
2025-01-01 11:00:00+00:00,2025-01-01 07:30:00+00:00,3.5,17726
2025-01-01 11:00:00+00:00,2025-01-01 09:30:00+00:00,1.5,17821
2025-01-01 12:00:00+00:00,2025-01-01 02:30:00+00:00,9.5,16748
2025-01-01 12:00:00+00:00,2025-01-01 04:30:00+00:00,7.5,16783
2025-01-01 12:00:00+00:00,2025-01-01 07:30:00+00:00,4.5,17487
2025-01-01 12:00:00+00:00,2025-01-01 09:30:00+00:00,2.5,17359
2025-01-01 12:00:00+00:00,2025-01-01 11:30:00+00:00,0.5,17212
2025-01-01 13:00:00+00:00,2025-01-01 02:30:00+00:00,10.5,16638
2025-01-01 13:00:00+00:00,2025-01-01 04:30:00+00:00,8.5,16569
2025-01-01 13:00:00+00:00,2025-01-01 07:30:00+00:00,5.5,17342
2025-01-01 13:00:00+00:00,2025-01-01 09:30:00+00:00,3.5,17263
2025-01-01 13:00:00+00:00,2025-01-01 11:30:00+00:00,1.5,17317
2025-01-01 14:00:00+00:00,2025-01-01 02:30:00+00:00,11.5,16099
2025-01-01 14:00:00+00:00,2025-01-01 04:30:00+00:00,9.5,15941
2025-01-01 14:00:00+00:00,2025-01-01 07:30:00+00:00,6.5,16517
2025-01-01 14:00:00+00:00,2025-01-01 09:30:00+00:00,4.5,16933
2025-01-01 14:00:00+00:00,2025-01-01 11:30:00+00:00,2.5,16708
2025-01-01 15:00:00+00:00,2025-01-01 02:30:00+00:00,12.5,15540
2025-01-01 15:00:00+00:00,2025-01-01 04:30:00+00:00,10.5,15418
2025-01-01 15:00:00+00:00,2025-01-01 07:30:00+00:00,7.5,15909
2025-01-01 15:00:00+00:00,2025-01-01 09:30:00+00:00,5.5,16022
2025-01-01 15:00:00+00:00,2025-01-01 11:30:00+00:00,3.5,16034
